Pressure Variation,Wifi 1 Var,Wifi 2 Var,Pressure,Wi-Fi 1,Wi-Fi 2,East,Floor
1.2,1.928571429,0,1022.2,7.5,3.5,0,0
0.8,1.428571429,-1,1021.8,7,2.5,0,0
0.9,1.928571429,-0.5,1021.9,7.5,3,0,0
1.1,-1.571428571,0,1022.1,4,3.5,1,0
1,-1.071428571,0.5,1022,4.5,4,1,0
1.3,-0.571428571,1,1022.3,5,4.5,1,0
0.7,-1.071428571,0.5,1021.7,4.5,4,1,0
-0.7,0.928571429,-1,1020.3,6.5,2.5,1,1
-1,1.428571429,-0.5,1020,7,3,0,1
-1.2,0.928571429,0,1019.8,6.5,3.5,0,1
-1.3,0.428571429,-0.5,1019.7,6,3,0,1
-0.9,-1.071428571,0,1020.1,4.5,3.5,1,1
-1.1,-1.571428571,0.5,1019.9,4,4,1,1
-0.8,-2.071428571,1,1020.2,3.5,4.5,1,1
,,,,,,,
,,,1021,5.571428571,3.5,,
